Company Name,SEC Number,Date Registered,Status,Address
"AMG III CONSTRUCTION AND DEVELOPMENT CORPORATION","CS201003594","March 16, 2010","Registered","Gloria 1; Sindalan ; PAMPANGA; REGION III (CENTRAL LUZON)"
"STEVEN CONSTRUCTION; SUPPLY; AND DEVELOPMENT CORPORATION","2022030046461-00","March 17, 2022","Registered","1130 ; CENTRAL CITY SUBDIVISION ; Bgy. 40 - Cruzada (Bgy. 52); LEGAZPI CITY (Capital); ALBAY; REGION V (BICOL REGION); 4500"
"DOUBLE 12 CONSTRUCTION & SUPPLY CO.","PG201209653","May 23, 2012","Registered","1270 ; C Intruccion St ; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"ANG YAP BUILDERS AND AGGREGATE SUPPLIES INC.","CS201725401","July 31, 2017","Registered","ZAMORA ST. ; CEBU; REGION VII (CENTRAL VISAYAS); 6541"
"PLD CONSTRUCTION AND DEVELOPMENT INC.","CS201332079","November 18, 2013","Registered","P.C. SUICO ST.; ; MANDAUE CITY; CEBU; REGION VII (CENTRAL VISAYAS)"
"ARCA BUILDERS CORP.","AS95006006","June 23, 1995","Revoked","RGV BLDG 5470 PRES SERGIO OSMENA HI-WAY MAKATI CTY ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"L. B. LEONCIO TRADING AND CONSTRUCTION Corporation","CS202003726","April 22, 2021","Registered","0 ; North National Highway ; PALAWAN; REGION IV-B (MIMAROPA); 5300"
"CBCL Construction & Supply Inc.","2023100120600-02","October 11, 2023","Registered","HDA. STA. MARIA ; Zone 15 (Pob.); CITY OF TALISAY; NEGROS OCCIDENTAL; REGION VI (WESTERN VISAYAS); 6115"
"IRON WORKS AND INDL. REFRIGERATION SVCS. INC.","0000036866","January 1, 1968","Revoked","102 GEN SAN MIGUEL CALOOCAN CITY ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"IRON WORKS NORTH BEARD PHIL. INC.","CS201522984","November 24, 2015","Registered","BLOCK 5; LOT 4; PHASE 3 ; LIMA TECHNOLOGY CENTER-SPECIAL ECONOMIC ZONE ; San Fernando; MALVAR; BATANGAS; REGION IV-A (CALABARZON); 4233"
"2-R FABRICATORS IRON WORKS CO.","PG201300946","January 17, 2013","Registered","13 ; PLEASANT SUMMERVILLE ; CITY OF ANTIPOLO; RIZAL; REGION IV-A (CALABARZON)"
"3 1 IRON WORKS INC.","AS93009435","December 2, 1993","Suspended","1557 JOSHUA ST JORDAN PLAINS NOVALICHES Q.C. ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"A&C IRON WORKS CO.","CP95000112","October 17, 1995","Registered","KM. 6 MACTAN; LAPU-LAPU CITY; CEBU ; CEBU; REGION VII (CENTRAL VISAYAS)"
"A. GERONIMO IRON WORKS CO.","A199722630","December 1, 1997","Expired","330 M.H. DEL PILAR ST.; PALATIW; PASIG CITY ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"ACJ WOOD IRON WORKS BUILDERS INC.","AS95005309","June 2, 1995","Revoked","659 SAN MIGUEL ST BRGY MUZON TAYTAY RIZAL ; RIZAL; REGION IV-A (CALABARZON)"
"ADVANCE IRON WORKS CO.","P000032666","January 1, 1936","Dissolved","229 ENCARNACION ST.; RAFAEL VILLAGE NAVOTAS M.M. ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"AIRSIGNS ADVERTISING AND IRON WORKS CO.","PG201108422","May 18, 2011","Registered","AICHY RD ; STA ROSA TAGAYTAY RD ; SANTA ROSA; LAGUNA; REGION IV-A (CALABARZON)"
"AMALGAMATED IRON WORKS INC.","0000146368","November 19, 1987","Registered","NOVALICHES; QUEZON CITY ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"PHESCO; INCORPORATED","0000004839","January 9, 1950","Registered","Gamis; SAGUDAY; QUIRINO; REGION II (CAGAYAN VALLEY); 3405"
"BIG JC CONSTRUCTION CORP.","2022060056899-03","June 22, 2022","Registered","1013 S.TEODORO ST. ; Tondo I/II - Barangay 196; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR); 1013"
"NVJ Construction Corp.","2023110125452-07","November 20, 2023","Registered","55 BONI SERRANO BRGY. ; Bagong Lipunan Ng Crame; CUBAO ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1111"
"PGK INTERNATIONAL CONSTRUCTION CORP.","2021070018480-10","July 1, 2021","Registered","BLOCK 4 LOT 1 ; VILLA TERESA ; Mercedes; ZAMBOANGA ; ZAMBOANGA CITY; ZAMBOANGA DEL SUR; REGION IX (ZAMBOANGA PENINSULA); 7000"
